company,location,total_laid_off,date,percentage_laid_off,industry,source,notes
Amazon.com Inc.,Seattle,1060,2023/04/16,0.20,Other,https://example.com/x84453,synthetic
META PLATFORMS,NYC,10669,02-Jul-2023,,Tech,https://example.com/x18232,synthetic
Salesforce,Various,806,2023/12/07,,Consumer,https://example.com/x59599,synthetic
MSFT,Remote,"3,260",2023/09/02,,Tech,https://example.com/x91413,synthetic
Salesforce Inc.,Seattle,  2419  ,05/05/2024,,Finance,https://example.com/x5624,synthetic
"Uber Technologies, Inc.",NYC,7071,05-Jun-2024,,,https://example.com/x24642,
Uber,SF Bay Area,1673,19-Feb-2024,0.66,Other,https://example.com/x2511,synthetic
GOOGL,Various,11808,2023/10/04,,Other,https://example.com/x37359,
Alphabet,Remote,9044,02/21/2025,0.72,Tech,https://example.com/x47811,
Alphabet,Seattle,6380.0,"January 31, 2023",,Other,https://example.com/x76915,synthetic
CRM,Various,11771.0,2024-10-09,0.62,Finance,https://example.com/x37368,
MICROSOFT CORP,NYC,7106,21-Jun-2023,0.64,,https://example.com/x82188,
CRM,  ,9209.0,02/21/2024,,Consumer,https://example.com/x4711,synthetic
  Meta Platforms  ,Austin,11100,2024-04-16,,Consumer,https://example.com/x83880,
Salesforce Inc.,NYC,"11,066",2023/05/05,0.27,Finance,https://example.com/x52488,
Google,Remote,11003,2023/12/25,0.86,Finance,https://example.com/x14111,synthetic
uber technologies,SF Bay Area,"4,158","May 26, 2024",,Consumer,https://example.com/x34416,synthetic
Lyft,NYC,11817.0,2024/06/06,0.01,,https://example.com/x45462,synthetic
TESLA,SF Bay Area,"3,573",2023-11-04,0.42,Other,https://example.com/x91025,
UBER,Various,3089,2023/11/09,0.54,Finance,https://example.com/x21941,
LYFT,NYC,  4967  ,02/19/2024,0.49,Other,https://example.com/x80521,synthetic
Airbnb,SF Bay Area,4457,23-Aug-2023,0.36,Consumer,https://example.com/x82912,
"Lyft, Inc.",Various,2286,30-Jan-2023,,Finance,https://example.com/x60534,
Apple Computer,Seattle,"10,188",2023/04/24,0.38,Other,https://example.com/x7849,
amazon.com,SF Bay Area,2893.0,2023/07/08,0.42,,https://example.com/x33368,synthetic
AMZN,Various,  2803  ,2023-05-29,,Other,https://example.com/x38060,
airbnb inc,NYC,N/A,2024/09/27,,Consumer,https://example.com/x46013,
CRM,NYC,N/A,"January 06, 2024",,Finance,https://example.com/x10579,
AMZN,NYC,948,2024-06-09,0.94,Tech,https://example.com/x18265,
Tesla,SF Bay Area,8450,"February 23, 2024",0.36,Other,https://example.com/x27022,
Amazon.com Inc.,NYC,11935,10/27/2024,,Tech,https://example.com/x14760,synthetic
Salesforce Inc.,Austin,1831,11/07/2024,0.97,Tech,https://example.com/x31355,
 Tesla Inc ,Seattle,"1,483",2023-05-02,,Tech,https://example.com/x84360,synthetic
CRM,Remote,6598,29-Jul-2023,,,https://example.com/x11364,synthetic
Apple Inc.,  ,7952,2025/02/15,0.34,Consumer,https://example.com/x27051,
uber technologies,Various,3361.0,2023-01-11,,Finance,https://example.com/x90124,synthetic
APPLE INC,NYC,551,03/16/2025,0.46,Tech,https://example.com/x18577,synthetic
LYFT,Various,  7660  ,22-Jan-2024,0.13,Consumer,https://example.com/x85571,synthetic
UBER,Seattle,"8,929",2023/02/25,0.62,Tech,https://example.com/x36238,synthetic
Salesforce Inc.,Seattle,  5547  ,2024-03-23,0.07,Consumer,https://example.com/x27106,synthetic
Apple,Remote,1340,03-Aug-2023,0.48,,https://example.com/x36897,
Airbnb Inc.,Various,  4154  ,2023/02/28,0.87,Finance,https://example.com/x30165,
"Meta Platforms, Inc.",  ,"1,033",2024-08-04,0.17,,https://example.com/x15771,
microsoft corp.,Seattle,7202,12/22/2024,0.05,Other,https://example.com/x42382,
Airbnb,Austin,  3988  ,"March 10, 2023",0.54,,https://example.com/x7220,
AMAZON.COM,Remote,9898.0,"November 01, 2023",,,https://example.com/x64753,
Airbnb,SF Bay Area,9441,11/04/2024,0.32,Other,https://example.com/x82609,
Initech Solutions,NYC,494,05/16/2023,,Other,,no_mapping
Alphabet,Seattle,"5,953",2024-04-11,0.96,,https://example.com/x24829,
"Lyft, Inc.",NYC,6293,2023-11-22,0.96,Finance,https://example.com/x46442,synthetic
AMZN,Seattle,"8,219",2023/10/18,0.69,Tech,https://example.com/x88578,synthetic
microsoft corp.,Austin,8599.0,29-Mar-2023,,Finance,https://example.com/x81060,synthetic
Hooli Labs,NYC,435,12-Oct-2024,,Other,,no_mapping
"Tesla, Inc.",Austin,7216,"February 28, 2024",0.66,Finance,https://example.com/x71165,
MICROSOFT CORP,NYC,10568,09/22/2023,0.05,Tech,https://example.com/x84218,
APPLE INC,Various,9458,2024/06/03,0.87,Other,https://example.com/x47091,
Microsoft Corporation,Austin,6224,"April 20, 2023",0.71,Finance,https://example.com/x7865,
Uber,Various,6299,2024-06-04,,Other,https://example.com/x51135,
microsoft corp.,NYC,  9706  ,2024-02-26,0.74,,https://example.com/x87225,synthetic
Apple Computer,Austin,2215,2025-03-15,0.35,Other,https://example.com/x78913,synthetic
ABNB,Remote,21.0,"March 02, 2025",0.47,Finance,https://example.com/x85800,
Meta Platforms Inc,Seattle,10726.0,"December 17, 2024",0.00,Tech,https://example.com/x62425,
Lyft,SF Bay Area,4405,"May 03, 2024",0.68,Consumer,https://example.com/x33140,
ABNB,Seattle,"8,183","June 29, 2023",,Consumer,https://example.com/x44902,
Salesforce Inc.,NYC,11584,"December 11, 2024",,Tech,https://example.com/x12842,
salesforce.com,Seattle,8651,2023/08/04,0.23,Tech,https://example.com/x81463,
salesforce.com,Austin,10559,2024/06/11,0.45,Finance,https://example.com/x12590,
Amazon,Austin,6101,2025-01-13,,,https://example.com/x30615,
Google LLC,SF Bay Area,2164.0,"May 18, 2024",,Other,https://example.com/x35670,
Salesforce Inc.,Various,7048,12/13/2024,0.24,Other,https://example.com/x77013,
Google,Remote,N/A,2023/05/06,,Other,https://example.com/x37582,
"Airbnb, Inc.",Various,"8,829",2023-08-03,0.44,Finance,https://example.com/x10327,
UBER,Various,"1,359",24-Dec-2024,,Other,https://example.com/x49070,
tesla motors,NYC,644,"December 06, 2023",,,https://example.com/x53129,synthetic
"Meta Platforms, Inc.",NYC,N/A,2023/10/18,0.73,Tech,https://example.com/x32119,
Initech Solutions,NYC,123,09-Feb-2024,,Other,,no_mapping
Alphabet,SF Bay Area,3445.0,"November 23, 2024",,Tech,https://example.com/x32794,
meta platforms,Various,"8,282","May 16, 2024",,Tech,https://example.com/x51920,
Google LLC,SF Bay Area,  9566  ,2024/10/17,0.78,Tech,https://example.com/x2704,
Airbnb Inc.,Seattle,"3,271",2023-08-02,,Tech,https://example.com/x1174,
Apple Inc.,NYC,"11,155",2023/11/28,0.88,Consumer,https://example.com/x39897,synthetic
Airbnb Inc.,Various,7195,05-Jan-2024,,Other,https://example.com/x99694,
airbnb inc,SF Bay Area,2428,2024/01/24,0.12,Consumer,https://example.com/x16100,
google llc,  ,847,2024-03-19,0.44,Other,https://example.com/x64094,synthetic
Microsoft,  ,5899,17-Sep-2023,0.61,Tech,https://example.com/x60851,
Alphabet,Various,"2,361","November 18, 2024",0.94,Finance,https://example.com/x86697,synthetic
 Tesla Inc ,SF Bay Area,10910,18-Jan-2023,0.50,Finance,https://example.com/x42102,
uber technologies,NYC,8006.0,11/18/2024,0.03,Tech,https://example.com/x16365,synthetic
ABNB,Seattle,"7,729",2024/01/01,0.51,Consumer,https://example.com/x69772,synthetic
Globex Industries,NYC,354,12-Sep-2024,,Other,,no_mapping
Uber,  ,8732,24-Mar-2023,0.75,Other,https://example.com/x47973,
Airbnb Inc.,NYC,"6,444",06/16/2024,0.42,Other,https://example.com/x86901,synthetic
LYFT INC,Various,5159,05/22/2024,,,https://example.com/x81923,
Amazon.com Inc.,SF Bay Area,N/A,06/08/2024,,Other,https://example.com/x24433,synthetic
apple inc.,Seattle,2932.0,"May 20, 2024",,Finance,https://example.com/x15154,synthetic
Uber,Seattle,"2,632","August 19, 2023",,Finance,https://example.com/x84320,
Alphabet Inc.,Remote,10436.0,"October 09, 2023",0.78,Finance,https://example.com/x74397,
  Apple Inc  ,NYC,8897,03/25/2024,0.52,Other,https://example.com/x46083,
  Apple Inc  ,Various,6895.0,"November 04, 2024",,Other,https://example.com/x62307,
Uber,Remote,8773,2024-12-07,,Tech,https://example.com/x16519,
"Uber Technologies, Inc.",NYC,10263,07-Feb-2025,0.93,Consumer,https://example.com/x34255,synthetic
Apple,  ,5003.0,"November 05, 2024",,Tech,https://example.com/x28209,
uber technologies,SF Bay Area,  8990  ,17-Jan-2023,,Tech,https://example.com/x2196,
Soylent Corp,NYC,372,05-Feb-2024,,Other,,no_mapping
Salesforce Inc.,Remote,8465,"February 28, 2025",0.20,,https://example.com/x91454,
Meta Platforms Inc,Austin,"7,996",01/13/2024,,,https://example.com/x3401,synthetic
salesforce.com,Remote,  7123  ,13-Aug-2023,0.88,Other,https://example.com/x77044,
Globex Industries,NYC,165,10-Nov-2023,,Other,,no_mapping
"Uber Technologies, Inc.",Various,5666,12-Mar-2023,0.35,Consumer,https://example.com/x87049,synthetic
TESLA,Seattle,7591,26-Feb-2025,0.85,,https://example.com/x75950,
Globex Industries,NYC,310,2024-01-23,,Other,,no_mapping
CRM,SF Bay Area,  1646  ,2025/02/28,0.14,Consumer,https://example.com/x45412,
Tesla,SF Bay Area,  8470  ,"February 23, 2024",0.36,Other,https://example.com/x27022,
microsoft corp.,Various,4150,01/13/2023,0.17,Consumer,https://example.com/x91196,
Uber,Various,4006,10/18/2023,0.02,,https://example.com/x68767,
amazon.com,  ,"5,541",07-Aug-2024,,Consumer,https://example.com/x51508,
META PLATFORMS,Austin,4982,01/16/2025,,Tech,https://example.com/x76172,
tesla motors,  ,638.0,2024-08-20,0.80,Tech,https://example.com/x45766,
Alphabet Inc.,Seattle,7151,2023/02/27,0.84,Tech,https://example.com/x2648,
  Apple Inc  ,Austin,  3790  ,2023/06/02,,Finance,https://example.com/x22237,
Lyft,Austin,3936,2024/09/06,0.07,,https://example.com/x99954,synthetic
  Apple Inc  ,Various,10303,2024/10/28,,,https://example.com/x37519,
Microsoft,  ,1312,29-Jun-2024,0.40,Tech,https://example.com/x35044,synthetic
Tesla,Austin,6154.0,03/09/2023,,Tech,https://example.com/x43655,synthetic
microsoft corp.,Austin,"11,025","September 13, 2023",0.52,,https://example.com/x42476,
APPLE INC,  ,"9,011",01/18/2024,0.07,Tech,https://example.com/x80807,synthetic
Amazon,SF Bay Area,  7423  ,"March 22, 2023",,,https://example.com/x77226,
ABNB,Remote,4793,16-Feb-2023,0.53,Other,https://example.com/x64780,
Airbnb,SF Bay Area,  6436  ,08/06/2024,0.35,Other,https://example.com/x71205,
uber technologies,Remote,5046,2024-06-22,,Other,https://example.com/x38727,synthetic
Salesforce,Austin,3769,2024-05-24,,Other,https://example.com/x57974,
Alphabet Inc.,Remote,6773,2023-11-02,0.49,,https://example.com/x94257,
"Uber Technologies, Inc.",Austin,"5,594",07-May-2024,,,https://example.com/x12407,synthetic
"Airbnb, Inc.",Various,"6,376",2024-04-05,0.85,,https://example.com/x51012,
  Meta Platforms  ,NYC,  6639  ,"July 12, 2024",,,https://example.com/x44736,synthetic
tesla motors,NYC,"8,708",09/19/2023,0.12,Finance,https://example.com/x81635,
LYFT,Remote,4390.0,01-Nov-2024,,Tech,https://example.com/x21675,
Apple,  ,  9789  ,2025-02-16,0.29,Other,https://example.com/x80252,
Apple Computer,SF Bay Area,7160,07/22/2023,,,https://example.com/x4548,synthetic
Apple Computer,Austin,  6025  ,2023/03/11,,Finance,https://example.com/x19183,synthetic
META PLATFORMS,Various,507,2024-07-01,0.60,Finance,https://example.com/x60065,
"Uber Technologies, Inc.",  ,6697,2024/01/04,,Other,https://example.com/x25961,synthetic
Apple,Austin,3496.0,10/19/2023,,Finance,https://example.com/x46982,
"Lyft, Inc.",SF Bay Area,1070,2024-08-07,,,https://example.com/x65904,
amazon.com,Austin,5774,09/04/2023,0.65,Tech,https://example.com/x27223,synthetic
Amazon.com Inc.,  ,"5,078",2023-12-01,0.18,Finance,https://example.com/x56954,synthetic
amazon.com,Various,5951.0,14-Apr-2024,0.68,Tech,https://example.com/x75855,synthetic
Meta,Various,217,2024-09-21,0.57,,https://example.com/x84623,
Tesla,SF Bay Area,10151,2023/04/24,0.90,Consumer,https://example.com/x98729,
Tesla,Various,4995,10/01/2023,0.41,Other,https://example.com/x21426,
"Meta Platforms, Inc.",Various,  11635  ,2023/01/08,0.73,Finance,https://example.com/x18178,
Apple,Various,N/A,2024/03/14,0.75,Tech,https://example.com/x23473,
Alphabet,Various,"6,045","June 28, 2023",0.22,Tech,https://example.com/x96769,
"Airbnb, Inc.",Remote,8849.0,2023-01-26,,Other,https://example.com/x37653,
"Meta Platforms, Inc.",  ,  11648  ,2024/09/28,0.01,Other,https://example.com/x86465,
Apple Computer,Remote,  11249  ,"June 12, 2024",,Tech,https://example.com/x7242,
META PLATFORMS,NYC,  10803  ,2023-09-23,,,https://example.com/x3648,synthetic
APPLE INC,NYC,401.0,10/05/2023,0.33,,https://example.com/x2976,synthetic
Salesforce Inc.,Seattle,863,2023-11-27,0.23,Other,https://example.com/x40997,
Microsoft,NYC,3729.0,12/02/2024,,Consumer,https://example.com/x47885,synthetic
 Tesla Inc ,SF Bay Area,  6621  ,03/23/2024,,Finance,https://example.com/x75541,
ABNB,  ,"5,935",2025-02-17,,,https://example.com/x64311,synthetic
tesla motors,Various,11437,2024-09-23,0.14,Other,https://example.com/x93155,
Google,Remote,N/A,25-Nov-2023,,Other,https://example.com/x80824,synthetic
AMZN,Remote,  10490  ,05/24/2023,0.65,Consumer,https://example.com/x99929,
Airbnb Inc.,Remote,"4,670","October 15, 2024",0.44,Other,https://example.com/x78061,synthetic
TESLA,Various,6125,"June 12, 2023",,,https://example.com/x60348,synthetic
Microsoft,Seattle,  6583  ,"March 10, 2025",0.19,Tech,https://example.com/x76093,
microsoft corp.,SF Bay Area,5200,2024-02-09,,,https://example.com/x20477,
Amazon,  ,7408,06/08/2024,,Other,https://example.com/x32612,
Microsoft Corporation,  ,494.0,"January 04, 2023",,Other,https://example.com/x98875,
  Apple Inc  ,Austin,N/A,2024-01-18,,,https://example.com/x72863,synthetic
apple inc.,Remote,3219,11/27/2023,,Tech,https://example.com/x20331,
Amazon.com Inc.,Various,4187,2024-07-19,0.84,Finance,https://example.com/x15983,
Globex Industries,NYC,54,06/04/2023,,Other,,no_mapping
Apple,  ,9839,2025-02-16,0.29,Other,https://example.com/x80252,
ABNB,  ,3731,"June 11, 2024",0.90,Other,https://example.com/x68922,
MSFT,  ,130,10/21/2023,,Consumer,https://example.com/x69754,synthetic
Alphabet Inc.,Austin,1470.0,08/03/2023,,Tech,https://example.com/x21848,synthetic
MICROSOFT CORP,Remote,754,05/21/2024,0.04,Finance,https://example.com/x27240,
CRM,Austin,"6,905",2024/05/26,0.18,Tech,https://example.com/x90789,synthetic
Lyft,SF Bay Area,2733.0,04/15/2024,0.97,Finance,https://example.com/x86042,
Amazon,Seattle,  1027  ,2024/06/26,,Consumer,https://example.com/x96615,
Lyft,SF Bay Area,9614.0,"March 10, 2023",0.26,Tech,https://example.com/x24968,
Apple,Various,  7458  ,03/18/2025,,Other,https://example.com/x49090,synthetic
amazon.com,  ,6062.0,02/18/2023,,,https://example.com/x25445,
Soylent Corp,NYC,414,2025-01-17,,Other,,no_mapping
  Apple Inc  ,Austin,891,18-Dec-2024,0.19,Other,https://example.com/x4501,synthetic
Google,Austin,"4,393",2023/02/25,0.48,Other,https://example.com/x15841,synthetic
google llc,Various,3639.0,12-Apr-2024,0.09,,https://example.com/x53642,
Apple,NYC,  1939  ,10-Jul-2024,,Tech,https://example.com/x9444,
"Lyft, Inc.",SF Bay Area,  2926  ,02/15/2023,0.75,Finance,https://example.com/x71366,synthetic
meta platforms,Remote,4944,11/04/2023,0.52,Consumer,https://example.com/x18997,
AMZN,Seattle,"9,663","July 16, 2024",,Other,https://example.com/x65525,
Globex Industries,NYC,43,04/02/2023,,Other,,no_mapping
LYFT,  ,  8435  ,2024/02/06,,Finance,https://example.com/x21956,
CRM,NYC,"4,253",09/28/2024,0.71,Consumer,https://example.com/x91624,
"Airbnb, Inc.",  ,  10695  ,"January 06, 2024",,Other,https://example.com/x75732,
airbnb inc,SF Bay Area,7006,2024/12/25,,,https://example.com/x79074,
Lyft,Remote,N/A,10/07/2023,0.89,Finance,https://example.com/x5554,
Uber,SF Bay Area,1809.0,12/18/2023,,,https://example.com/x98355,
ABNB,Austin,  9450  ,"December 06, 2024",0.81,Finance,https://example.com/x53524,
TESLA,NYC,  9158  ,"July 02, 2024",,Finance,https://example.com/x72694,synthetic
ABNB,Various,11604,2023-06-17,0.13,Tech,https://example.com/x53887,
Lyft,Austin,N/A,25-Jul-2023,,Consumer,https://example.com/x26251,
google llc,X,100,not-a-date,,Tech,,bad_date
UBER,Various,  1258  ,"June 03, 2023",0.03,Finance,https://example.com/x62851,
Hooli Labs,NYC,454,15-Dec-2023,,Other,,no_mapping
  Meta Platforms  ,SF Bay Area,  4422  ,2024-02-10,0.56,Other,https://example.com/x32565,
UBER,Remote,"7,758",21-Feb-2023,,Tech,https://example.com/x55713,
MICROSOFT CORP,SF Bay Area,3880,04-Jan-2023,,Consumer,https://example.com/x26924,
Salesforce Inc.,SF Bay Area,10639,03/15/2025,0.70,Tech,https://example.com/x19316,
Tesla,Various,11262.0,17-Aug-2023,,,https://example.com/x64775,
Apple,SF Bay Area,819.0,12/22/2023,0.65,Finance,https://example.com/x90048,
TESLA,Remote,1632,05/26/2024,,Finance,https://example.com/x54803,
"Airbnb, Inc.",SF Bay Area,1647.0,"March 18, 2023",0.98,,https://example.com/x45403,synthetic
meta platforms,SF Bay Area,"10,122",07/23/2023,,Consumer,https://example.com/x30860,
Microsoft,X,100,not-a-date,,Tech,,bad_date
  Meta Platforms  ,NYC,3197,"June 18, 2023",0.31,Consumer,https://example.com/x94697,synthetic
Tesla,Austin,1373,04/02/2023,0.86,Tech,https://example.com/x83763,
Microsoft,Seattle,N/A,07/18/2023,,Tech,https://example.com/a5,
amazon.com,Remote,N/A,20-Dec-2023,0.39,,https://example.com/x38411,
UBER,Various,"1,148","December 22, 2023",0.37,Consumer,https://example.com/x40561,
META PLATFORMS,Seattle,"1,207","May 14, 2023",0.59,Finance,https://example.com/x57544,
 Tesla Inc ,  ,  2265  ,"October 25, 2023",0.54,Finance,https://example.com/x78609,
ABNB,Austin,"5,832",2024/02/21,,Other,https://example.com/x86062,
  Apple Inc  ,Remote,  3300  ,08/11/2023,,,https://example.com/x63524,synthetic
tesla motors,Remote,5252,2023/02/15,0.95,Tech,https://example.com/x92603,
microsoft corp.,Seattle,  4032  ,21-Jan-2025,,Other,https://example.com/x81986,
UBER,SF Bay Area,5459.0,16-Dec-2023,0.53,Other,https://example.com/x62632,
META,  ,570,2024/12/11,0.01,Consumer,https://example.com/x1599,
"Airbnb, Inc.",Remote,971,2023/01/25,,Tech,https://example.com/x40802,
"Tesla, Inc.",Various,  10287  ,16-Mar-2023,,,https://example.com/x44736,
UBER,NYC,11331.0,12-Dec-2023,0.62,Other,https://example.com/x11198,
AMZN,Remote,"1,478",2024/07/11,,Consumer,https://example.com/x35891,
Airbnb Inc.,Various,4505,"November 13, 2023",,Finance,https://example.com/x16796,
Apple Inc.,Various,11465,2024-09-20,0.02,Tech,https://example.com/x83600,
microsoft corp.,SF Bay Area,"3,526",14-Aug-2023,,Tech,https://example.com/x89308,
Initech Solutions,NYC,500,09-Dec-2023,,Other,,no_mapping
  Apple Inc  ,  ,5199.0,2023-09-30,0.16,Finance,https://example.com/x69527,
Apple,Austin,  3531  ,10/19/2023,,Finance,https://example.com/x46982,
Google LLC,  ,311,"August 22, 2023",,Consumer,https://example.com/a3,
  Meta Platforms  ,Remote,  4442  ,2025/03/05,0.81,Tech,https://example.com/x42310,
Initech Solutions,NYC,114,30-Apr-2024,,Other,,no_mapping
Google,  ,8223,"October 03, 2023",,Consumer,https://example.com/x88772,
Airbnb,Austin,5149.0,04-Aug-2024,0.57,Consumer,https://example.com/x56281,synthetic
MSFT,NYC,1406,2024/01/15,,Consumer,https://example.com/x90648,
MICROSOFT CORP,  ,"5,050",2023-09-26,,Finance,https://example.com/x3517,synthetic
salesforce.com,Seattle,404,2023-09-11,,Finance,https://example.com/x36902,
microsoft corp.,SF Bay Area,  11421  ,2024/02/23,0.39,Finance,https://example.com/x18316,
microsoft corp.,Various,"3,158",30-May-2024,,Other,https://example.com/x55727,synthetic
AMZN,  ,11678,12/12/2024,,Finance,https://example.com/x82719,
META,Seattle,  1426  ,"June 22, 2023",,Consumer,https://example.com/x46066,
apple inc.,Seattle,9746.0,"August 06, 2024",,Finance,https://example.com/x77196,
LYFT,Remote,  10712  ,"February 12, 2023",,,https://example.com/x91898,
AMAZON.COM,Remote,795,2025/03/29,,,https://example.com/x5989,synthetic
Uber,Seattle,5230,"August 13, 2023",0.11,Tech,https://example.com/x83463,synthetic
Lyft,Various,"8,910",2024-10-05,0.90,Other,https://example.com/x90985,
Tesla,  ,  5713  ,"January 09, 2024",0.91,Other,https://example.com/x86087,synthetic
GOOGL,  ,3082,06/17/2023,0.12,Tech,https://example.com/x30216,
tesla motors,Austin,  7153  ,01/01/2023,0.66,Tech,https://example.com/x90379,
Soylent Corp,NYC,190,"March 24, 2025",,Other,,no_mapping
TESLA,Seattle,284,2023-05-09,0.41,Consumer,https://example.com/x62180,synthetic
AMAZON.COM,NYC,8096.0,2023/03/21,,Finance,https://example.com/x59255,
MICROSOFT CORP,  ,11938.0,2024/11/26,0.64,Finance,https://example.com/x41659,
Initech Solutions,NYC,57,2023-06-04,,Other,,no_mapping
tesla motors,Seattle,9633,"February 20, 2025",,Tech,https://example.com/x84384,synthetic
AMZN,Remote,N/A,10/09/2023,0.56,Tech,https://example.com/x17933,synthetic
Meta,Austin,7739,"March 14, 2023",0.47,Finance,https://example.com/x25292,
Uber,NYC,  517  ,2024/07/13,,Consumer,https://example.com/x19021,
Meta,SF Bay Area,6393.0,01/27/2025,0.17,,https://example.com/x37576,
GOOGL,  ,"4,263","July 17, 2024",,Finance,https://example.com/x5290,
amazon.com,Austin,N/A,2023-06-28,,Consumer,https://example.com/x50477,
  Apple Inc  ,Remote,3866,2024-09-06,,Consumer,https://example.com/x45109,
amazon.com,Various,4508,25-Jul-2023,,Finance,https://example.com/x54060,
LYFT,Remote,"7,340",2023-01-20,,Tech,https://example.com/x76478,
LYFT,Austin,N/A,2024-07-28,0.80,Tech,https://example.com/x43940,
Salesforce Inc.,SF Bay Area,8109,2024/07/14,,Other,https://example.com/x8521,
"Meta Platforms, Inc.",Remote,1474,05/03/2023,,Consumer,https://example.com/x99829,
Salesforce,Austin,815,2023/12/27,0.19,Tech,https://example.com/x94061,
META PLATFORMS,Austin,11754,"June 26, 2023",0.28,Finance,https://example.com/x40158,synthetic
TESLA,Austin,  5012  ,07-Feb-2024,,,https://example.com/x37208,synthetic
Tesla,Various,"8,805","January 07, 2024",0.98,,https://example.com/x74371,
AMAZON.COM,Austin,"4,875","February 17, 2023",,,https://example.com/x43528,
Uber,NYC,"1,863",03/27/2024,0.69,Consumer,https://example.com/x15377,synthetic
Salesforce Inc.,  ,"5,852",2024-08-09,0.18,Tech,https://example.com/x53995,synthetic
Lyft,NYC,9575,27-Sep-2024,0.83,Consumer,https://example.com/x75365,
ABNB,Austin,  5872  ,2024/02/21,,Other,https://example.com/x86062,
"Lyft, Inc.",NYC,9967,"April 10, 2024",,,https://example.com/x44922,
CRM,SF Bay Area,7932,2024/01/25,0.24,Tech,https://example.com/x7041,
apple inc.,Remote,4271,11/13/2024,,Tech,https://example.com/x5202,
airbnb inc,Remote,  1801  ,2023/10/17,0.90,Other,https://example.com/x55646,
"Tesla, Inc.",NYC,"1,768",22-Sep-2023,,Finance,https://example.com/x69659,
Apple,  ,1790.0,2023-06-26,0.99,Other,https://example.com/x65533,synthetic
  Meta Platforms  ,Seattle,8652,10/11/2023,0.85,Finance,https://example.com/x24015,
Uber,Austin,7313,2023/12/05,0.36,,https://example.com/x51775,synthetic
Uber,NYC,4892,2024-01-03,0.87,Consumer,https://example.com/x20717,
"Uber Technologies, Inc.",Seattle,  8701  ,02/02/2024,0.52,Consumer,https://example.com/x13554,
Tesla,Various,  11270  ,17-Aug-2023,,,https://example.com/x64775,
TESLA,Remote,1412.0,"January 26, 2024",,Other,https://example.com/x59780,
LYFT INC,SF Bay Area,6520.0,2025/03/19,0.22,,https://example.com/x65564,
uber technologies,SF Bay Area,2704,"May 12, 2023",,Other,https://example.com/x15111,synthetic
LYFT,SF Bay Area,5345,"December 27, 2023",0.47,Other,https://example.com/x49601,synthetic
Uber,  ,  8715  ,2024/09/07,0.54,Other,https://example.com/x82845,synthetic
tesla motors,Austin,"3,877",02/02/2023,0.76,Tech,https://example.com/x95374,
Soylent Corp,NYC,54,2024-06-28,,Other,,no_mapping
ABNB,NYC,9138,2024/05/21,0.46,Tech,https://example.com/x84585,
Airbnb Inc.,Remote,  10827  ,2023-02-28,,Consumer,https://example.com/x56434,
Uber,SF Bay Area,9468,2024-11-01,0.33,,https://example.com/x33902,
MICROSOFT CORP,Remote,10469.0,2023/01/27,,Tech,https://example.com/x46348,synthetic
Apple Computer,Various,  2847  ,08/03/2024,0.22,Consumer,https://example.com/x86623,synthetic
Amazon.com Inc.,Seattle,4226,"July 19, 2024",,Finance,https://example.com/x57924,
Hooli Labs,NYC,340,2024-06-09,,Other,,no_mapping
Microsoft Corporation,NYC,3845.0,13-Dec-2024,0.37,Tech,https://example.com/x16803,
Amazon,SF Bay Area,"10,430","September 16, 2024",,Other,https://example.com/x61487,
  Meta Platforms  ,SF Bay Area,5295,12/18/2024,0.43,Consumer,https://example.com/x90497,
Apple Inc.,SF Bay Area,10071,12/17/2023,0.87,Finance,https://example.com/x62115,
apple inc.,Seattle,"11,379",2024-09-04,,Consumer,https://example.com/x38769,
Apple Computer,Austin,"9,254",21-Dec-2023,0.17,Other,https://example.com/x47167,
airbnb inc,NYC,1788.0,08-May-2023,,Other,https://example.com/x69271,synthetic
"Tesla, Inc.",Austin,6131,02-May-2024,,Finance,https://example.com/x92881,synthetic
UBER,Various,4908.0,2023-02-17,,Finance,https://example.com/x94722,synthetic
TESLA,NYC,3849,04/07/2024,0.63,,https://example.com/x26122,synthetic
LYFT INC,  ,2692.0,2024-02-08,0.68,Finance,https://example.com/x3000,synthetic
 Tesla Inc ,SF Bay Area,  11154  ,2024/06/08,,Consumer,https://example.com/x93360,
Google,Remote,"1,822","February 09, 2024",,,https://example.com/x61216,synthetic
Microsoft,Seattle,"7,187",08/24/2024,,Consumer,https://example.com/x44589,synthetic
"Uber Technologies, Inc.",Seattle,"10,955",06/13/2024,0.17,,https://example.com/x38986,
APPLE INC,Remote,11487,2023/07/12,,,https://example.com/x50122,
Google,Remote,9557,"January 08, 2025",0.77,Finance,https://example.com/x87392,
microsoft corp.,Remote,N/A,15-Jan-2023,,Consumer,https://example.com/x36921,
salesforce.com,Various,10067,11/07/2023,0.50,Consumer,https://example.com/x7946,
META,Seattle,3795,"December 04, 2023",,,https://example.com/x67481,
Alphabet,SF Bay Area,"7,693",01-Mar-2025,,Finance,https://example.com/x89056,
GOOGL,  ,10010,2023/07/22,,Consumer,https://example.com/x63704,
  Apple Inc  ,Remote,7569.0,2024/02/06,0.06,,https://example.com/x38539,synthetic
Google,Seattle,5375,2023/05/15,0.56,Finance,https://example.com/x57960,
"Meta Platforms, Inc.",Austin,524.0,"August 23, 2024",,Finance,https://example.com/x71340,
"Airbnb, Inc.",  ,"9,650",03/03/2023,0.02,Consumer,https://example.com/x99639,
